InvoiceId,CustomerId,InvoiceDate,BillingAdress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
1,2,1/1/09 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,1.98
2,4,1/2/09 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,3.96
3,8,1/3/09 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,5.94
4,14,1/6/09 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91
5,23,1/11/09 0:00,69 Salem Street,Boston,MA,USA,2113,13.86
6,37,1/19/09 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,0.99
7,38,2/1/09 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,1.98
8,40,2/1/09 0:00,"8, Rue Hanovre",Paris,,France,75002,1.98
9,42,2/2/09 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96
10,46,2/3/09 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,5.94
11,52,2/6/09 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91
12,2,2/11/09 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,13.86
13,16,2/19/09 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99
14,17,3/4/09 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98
15,19,3/4/09 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.98
16,21,3/5/09 0:00,801 W 4th Street,Reno,NV,USA,89503,3.96
17,25,3/6/09 0:00,319 N. Frances Street,Madison,WI,USA,53703,5.94
18,31,3/9/09 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91
19,40,3/14/09 0:00,"8, Rue Hanovre",Paris,,France,75002,13.86
20,54,3/22/09 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,0.99
21,55,4/4/09 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98
22,57,4/4/09 0:00,"Calle Lira, 198",Santiago,,Chile,,1.98
23,59,4/5/09 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,3.96
24,4,4/6/09 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,5.94
25,10,4/9/09 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,8.91
26,19,4/14/09 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,13.86
27,33,4/22/09 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,0.99
28,34,5/5/09 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,1.98
29,36,5/5/09 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,1.98
30,38,5/6/09 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,3.96
31,42,5/7/09 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,5.94
32,48,5/10/09 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.91
33,57,5/15/09 0:00,"Calle Lira, 198",Santiago,,Chile,,13.86
34,12,5/23/09 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,0.99
35,13,6/5/09 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,1.98
36,15,6/5/09 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,1.98
37,17,6/6/09 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,3.96
38,21,6/7/09 0:00,801 W 4th Street,Reno,NV,USA,89503,5.94
39,27,6/10/09 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,8.91
40,36,6/15/09 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,13.86
41,50,6/23/09 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,0.99
42,51,7/6/09 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,1.98
43,53,7/6/09 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,1.98
44,55,7/7/09 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,3.96
45,59,7/8/09 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,5.94
46,6,7/11/09 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,8.91
47,15,7/16/09 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,13.86
48,29,7/24/09 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,0.99
49,30,8/6/09 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,1.98
50,32,8/6/09 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,1.98
51,34,8/7/09 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,3.96
52,38,8/8/09 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,5.94
53,44,8/11/09 0:00,Porthaninkatu 9,Helsinki,,Finland,530,8.91
54,53,8/16/09 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,13.86
55,8,8/24/09 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,0.99
56,9,9/6/09 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,1.98
57,11,9/6/09 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,1.98
58,13,9/7/09 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,3.96
59,17,9/8/09 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94
60,23,9/11/09 0:00,69 Salem Street,Boston,MA,USA,2113,8.91
61,32,9/16/09 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86
62,46,9/24/09 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,0.99
63,47,10/7/09 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,1.98
64,49,10/7/09 0:00,Ordynacka 10,Warsaw,,Poland,00-358,1.98
65,51,10/8/09 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,3.96
66,55,10/9/09 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,5.94
67,2,10/12/09 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,8.91
68,11,10/17/09 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,13.86
69,25,10/25/09 0:00,319 N. Frances Street,Madison,WI,USA,53703,0.99
70,26,11/7/09 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98
